id,yr,gr_id,flag_id,fleet_id,ez_id,days,skj_c,yft_c,bet_c,days_arch,skj_arch_c,yft_arch_c,bet_arch_c,alb_c,bum_c,blm_c,mls_c,swo_c
6599,2010,G,JP,,I6,0,315,22,2,0,0,0,0,24,94,0,899,483
6600,2010,G,VN,,VN,0,11866,942,646,0,0,0,0,0,0,0,0,0
6601,2010,H,ID,,ID,0,0,10692,218,0,0,2191.32099,44.67901008,0,80,7,0,4
6602,2010,H,PH,,PH,0,131,11314,284,0,6.2094,536.2836,13.4616,102,396,113,0,16
6603,2010,H,US,HW,HW,0,7,265,340,0,0,0,0,53,2,0,0,3
6604,2010,K,PH,,PH,0,25200,43400,1400,0,25200,43400,1400,0,0,0,0,0
6605,2010,L,AU,AU,AU,5843.661,3.97994988,1353.370492,456.8439668,0,0,0,0,744.6617849,13,15,244.0568764,903.3081884
6606,2010,L,AU,AU,I7,34.285,0.02005012,5.45206338,1.01651268,0,0,0,0,0.24085105,0,0,2.00730972,21.3587196
6607,2010,L,AU,AU,NF,17.653,0,0.17744463,0.13952054,0,0,0,0,0.09736405,0,0,0.93581384,17.33309202
6608,2010,L,BZ,,I4,79.375,0,14,44.5,0,0,0,0,5,14.5,0,1.5,3.5
6609,2010,L,BZ,,I5,79.375,0,14,44.5,0,0,0,0,5,14.5,0,1.5,3.5
6610,2010,L,BZ,,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
6611,2010,L,CK,,CK,2228.301,120.7229466,157.1020109,256.3875126,0,0,0,0,2229.113818,35.57549702,17.19305231,23.78851176,73.09960398
6612,2010,L,CK,,H4,4.648,0,0.09520704,1.46735853,0,0,0,0,0.07957132,0.34016655,0,0,0.14599026
6613,2010,L,CK,,I2,20.235,0,2.28494784,6.03363299,0,0,0,0,0.53264809,0,0.21640088,0.18015672,0.218985
6614,2010,L,CK,,I7,7.073,0.15184172,0.01378944,0,0,0,0,0,0.15596851,0,0,0,0.20438574
6615,2010,L,CK,,I8,7.255,0,0.23965632,0.1310133,0,0,0,0,3.68397766,0.04436955,0,0,0.07299474
6616,2010,L,CK,,I9,33.696,0,0.87917952,4.44225045,0,0,0,0,45.1276481,1.27192667,0.20558095,0,0.60829158
6617,2010,L,CK,,NU,135.958,3.12521292,3.88703808,6.39348732,0,0,0,0,99.14370825,0.75428235,0,0,1.02192948
6618,2010,L,CK,,TV,181.093,0,26.06351232,43.50889169,0,0,0,0,35.10493283,4.8436748,1.38496586,0.03133152,2.01952764
6619,2010,L,CK,,VU,28.233,0,1.43465856,0.63585632,0,0,0,0,10.05772762,0.17008306,0,0,0.60829158
6620,2010,L,CN,,FJ,202.902,0.075,16.54,2.536,0,0.000572925,0.126349024,0.019372498,153.067,1.145,0.06,0.23,1.205
6621,2010,L,CN,,FM,1004.661,0,95.468,226.025,0,0,0,0,10.712,63.551,0.646,0.183,7.357
6622,2010,L,CN,,GL,114.256,0,11.926,42.037,0,0,0,0,2.063,4.41,0.872,0.237,1.222
6623,2010,L,CN,,H4,43.338,0,10.982,27.252,0,0,0,0,4.339,0.036,0.747,0.574,2.151
6624,2010,L,CN,,H5,251.165,0,57.672,117.277,0,0,0,0,25.087,7.196,5.287,0.946,8.224
6625,2010,L,CN,,I2,96.526,0.08,45.962,15.755,0,0,0,0,8.13,3.365,0,0.03,0.179
6626,2010,L,CN,,I3,118.195,0,9.287,28.064,0,0,0,0,4.205,6.898,0.048,0,0.419
6627,2010,L,CN,,I4,13564.11,0,395.8580129,4663.7795,0,0,0,0,0,445.9910067,0,75.91700197,617.3705305
6628,2010,L,CN,,I5,13564.11,0,395.8580129,4663.7795,0,0,0,0,0,445.9910067,0,75.91700197,617.3705305
6629,2010,L,CN,,I7,2088.473,0,0,0,0,0,0,0,11308.28787,0,0,0,0
6630,2010,L,CN,,I8,178.278,1.391,20.706,1.453,0,0,0,0,121.769,1.182,0.09,0.19,0.654
6631,2010,L,CN,,LN,4227.455,0,729.218,2796.301,0,0,0,0,378.265,105.999,87.58,38.934,230.573
6632,2010,L,CN,,MH,4476.65,0.01,577.339,1247.743,0,0,0,0,80.617,223.219,3.119,0.913,26.347
6633,2010,L,CN,,PG,1.97,0,0.141,0.021,0,0,0,0,0.08,0.05,0,0.06,0
6634,2010,L,CN,,PX,177.293,0,59.071,72.476,0,0,0,0,18.251,7.073,6.549,0.263,6.344
6635,2010,L,CN,,SB,88.647,0.999,9.18,1.475,0,0,0,0,68.963,0.885,0.43,0.51,0.43
6636,2010,L,CN,,TV,0.985,0,0,0.117,0,0,0,0,0,0,0,0,0.073
6637,2010,L,CN,,VU,1216.428,20.177,140.792,17.909,0,0.060498814,0.422151409,0.053698432,841.164,17.009,0.995,2.096,6.081
6638,2010,L,ES,,I7,702,1,3,15,0,0,0,0,13,5,0,25,994
6639,2010,L,FJ,,CK,193.522,0.06044888,79.36368006,47.16646704,0,0,0,0,139.6297962,7.1576347,0.22005552,0.1402572,1.0617075
6640,2010,L,FJ,,FJ,10889.608,59.74371096,1878.245556,352.0401261,0,6.162358661,193.7345803,36.31173032,6251.049406,76.46554625,26.70077664,32.0473248,68.4674559
6641,2010,L,FJ,,H4,14.371,0.0380608,1.98503978,5.81328748,0,0,0,0,1.047789,0,0.79464576,0.028624,0.2366865
6642,2010,L,FJ,,I2,119.626,2.95528128,48.24607584,14.44392796,0,0,0,0,24.936453,1.00798712,2.24130864,0.0858716,0.5198652
6643,2010,L,FJ,,I4,2.287,0,0.4502761,0.09973656,0,0,0,0,1.3341384,0,0,0,0.0126792
6644,2010,L,FJ,,I7,771.242,13.746538,15.41357148,11.50689001,0,0,0,0,924.5640175,1.48331371,0.68461776,1.0218736,4.3989858
6645,2010,L,FJ,,I8,506.257,21.30041816,57.4292624,5.39629013,0,0,0,0,372.1428259,3.17469771,3.71853456,0.7270472,2.7751482
6646,2010,L,FJ,,I9,12.095,0.04477768,0.101478,0.76275507,0,0,0,0,5.09849964,0.30517006,0,0,0.0253593
6647,2010,L,FJ,,MA,17.249,0,3.76842456,0.10923913,0,0,0,0,13.74116292,0,0.01358352,0.0477064,0.0507186
6648,2010,L,FJ,,SB,98.823,1.67913792,16.10484482,3.19920755,0,0,0,0,92.04435468,1.11895877,0.6248496,0.162202,0.1606086
6649,2010,L,FJ,,TV,589.755,9.82855104,264.0868676,72.91210927,0,0,0,0,182.8286795,9.28365512,8.3627976,0.1431196,2.7387999
6650,2010,L,FJ,,VU,1956.301,42.60307528,236.8048976,25.54996906,0,0.102721583,0.570967559,0.061604315,1243.582785,13.00303656,4.63882944,5.5959736,9.5519862
6651,2010,L,FM,,FM,2340.557,0.68162693,257.271752,534.8451158,0,0,0,0,10.76616984,131.3311368,8.85701135,1,10.55067046
6652,2010,L,FM,,GL,3.307,0,0.3174666,0.58296714,0,0,0,0,0,0,0.08468853,0,0
6653,2010,L,FM,,I2,80.905,0.02805049,8.7302594,14.67051978,0,0,0,0,1.05787099,3.37600175,0.02822951,0,0.13719992
6654,2010,L,FM,,I3,73.216,0,6.7028692,18.97436835,0,0,0,0,1.63908807,6.147053,1.1432955,0,0.62311612
6655,2010,L,FM,,I4,178.581,0.11640954,15.9914298,43.29631215,0,0,0,0,2.77420338,12.0013905,2.68180414,0,1.24623224
6656,2010,L,FM,,MH,1832.261,0.17391304,225.986223,500.6307167,0,0,0,0,36.76266825,122.1444208,10.20497074,0,9.44278148
6657,2010,L,ID,,ID,33281.25,0,23245,3380,0,0,9920.485821,1442.514178,0,1163,348,227,640
6658,2010,L,JP,CS,CN,0.877,0,0.270015,0,0,0,0,0,0,0,0,0.24300224,0
6659,2010,L,JP,CS,I1,1694.494,0,468.0060266,666.0909675,0,0,0,0,3.06604424,92.621998,1.26699997,0.8050016,24.53400174
6660,2010,L,JP,CS,I3,3600.697,0,602.2389857,449.92004,0,0,0,0,2481.601022,338.7449957,1.26199993,16.84200128,119.066
6661,2010,L,JP,CS,I6,31286.37,0,4063.916024,6078.390009,0,0,0,0,13299.99008,1059.335005,10.04100002,723.4690029,992.0170046
6662,2010,L,JP,CS,JP,3915.636,0,957.5890092,1248.854032,0,0,0,0,609.9480003,231.4669986,5.27099994,14.6370016,121.742995
